Step Nr.;Time[fs];Kin.[a.u.];Temp[K];Pot.[a.u.];Cons Qty[a.u.];UsedTime[s]
0.0;0.0;0.00256512;90.0;-23.507720088;-23.505154968;0.0
1.0;0.5;0.002471777;86.724931682;-23.508392964;-23.505875379;256.210348251
2.0;1.0;0.002301089;80.736186813;-23.508210803;-23.505865646;78.636365304
3.0;1.5;0.002063055;72.384504654;-23.507963706;-23.505857746;59.540812913
4.0;2.0;0.001843199;64.670622314;-23.507721647;-23.505847069;53.72135993
5.0;2.5;0.001670379;58.607030665;-23.507561065;-23.505838717;41.957572601
6.0;3.0;0.00160666;56.371388528;-23.507516875;-23.505833341;47.757459841
7.0;3.5;0.001639256;57.51504065;-23.507575416;-23.505830873;42.758669214
8.0;4.0;0.001773893;62.238926936;-23.507678376;-23.505830157;36.710980909
9.0;4.5;0.001887161;66.213074328;-23.507747794;-23.505828439;37.294876805
10.0;5.0;0.001863156;65.370814235;-23.507725939;-23.50582354;42.86556204
11.0;5.5;0.001762081;61.824492106;-23.507611635;-23.505815186;37.576147441
12.0;6.0;0.001611349;56.53591712;-23.507469083;-23.505805523;43.223536538
13.0;6.5;0.001500367;52.641979257;-23.507391883;-23.505797921;42.519366951
14.0;7.0;0.001552727;54.479090904;-23.50744969;-23.505794878;42.98216218
15.0;7.5;0.001764305;61.902530071;-23.50764915;-23.505796319;37.797603382
16.0;8.0;0.002038927;71.537923565;-23.507928654;-23.505800185;37.20365025
17.0;8.5;0.002281283;80.041252171;-23.508194131;-23.50580353;36.941505078
18.0;9.0;0.002459233;86.284823478;-23.508355915;-23.505804082;36.291693386
19.0;9.5;0.002482295;87.093998074;-23.508367262;-23.505801011;36.34980093
20.0;10.0;0.002337644;82.018749242;-23.508233122;-23.505794716;42.902606136
21.0;10.5;0.002121435;74.432813953;-23.508004606;-23.505786451;36.766324459
22.0;11.0;0.001935982;67.92598788;-23.507756619;-23.505777889;42.961440746
23.0;11.5;0.001784464;62.609838479;-23.507563978;-23.505770973;37.528508612
24.0;12.0;0.001710529;60.015729922;-23.507479826;-23.505767282;37.467223145
25.0;12.5;0.001733453;60.820040713;-23.507508328;-23.505767362;36.505768241
26.0;13.0;0.001859784;65.252518889;-23.507599996;-23.505770114;36.910676542
27.0;13.5;0.001917656;67.283014211;-23.50767087;-23.505773201;37.546851738
28.0;14.0;0.00189705;66.56004377;-23.507645715;-23.505773798;37.333531558
29.0;14.5;0.00174951;61.383449531;-23.507499414;-23.505770545;42.573833111
30.0;15.0;0.00152838;53.624862875;-23.507284266;-23.505764531;43.948845241
31.0;15.5;0.00135705;47.613555294;-23.507104128;-23.505759133;37.133993196
32.0;16.0;0.001335424;46.854768084;-23.507061524;-23.505758008;43.016710905
33.0;16.5;0.001472749;51.672980042;-23.50720443;-23.505762788;42.309080925
34.0;17.0;0.00174492;61.222398132;-23.507497097;-23.505771785;36.803474797
35.0;17.5;0.002108645;73.984065239;-23.507844773;-23.505781567;42.953455012
